[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] 82 goals scheduled
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_6_part3 (Qed 27ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_6_part2 (Qed 5ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_6_part1 (Qed 14ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_5_part2 (Qed 6ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_5_part1 (Qed 13ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_5_part3 (Qed 27ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_4_part2 (Qed 18ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_4_part1 (Qed 8ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_3_part2 (Qed 16ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_3_part1 (Qed 5ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_2 (Qed 7ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access (Qed 6ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_signed_overflow (Qed 1ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_terminates (Qed 3ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_7_part3 (Qed 11ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_7_part2 (Qed 31ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_7_part1 (Qed 60ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_8_part1 (Qed 43ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_7_part4 (Qed 61ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_9_part5 (Qed 88ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_9_part4 (Qed 5ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_9_part3 (Qed 20ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_9_part2 (Qed 43ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_9_part1 (Qed 53ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_8_part4 (Qed 64ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_8_part3 (Qed 12ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_10_part1 (Qed 133ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_8_part2 (Qed 31ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_10_part2 (Qed 73ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_10_part4 (Qed 15ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_10_part3 (Qed 48ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part1 (Qed 92ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_10_part5 (Qed 172ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part6 (Qed 103ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part1 (Qed 54ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part5 (Qed 11ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part4 (Qed 27ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part3 (Qed 26ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_11_part2 (Qed 57ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part2 (Qed 93ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part4 (Qed 41ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part3 (Qed 82ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part5 (Qed 18ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part1 (Qed 137ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_12_part6 (Qed 185ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part3 (Qed 77ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part4 (Qed 51ms) (Alt-Ergo)
[wp] [Timeout] typed_duffsDevice_assert_rte_mem_access_13_part2 (Qed 108ms) (Alt-Ergo)
