[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] 65 goals scheduled
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part3 (Qed 22ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part2 (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part1 (Qed 12ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part3 (Qed 22ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part2 (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part1 (Qed 13ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_4_part2 (Qed 18ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_4_part1 (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_3_part2 (Qed 13ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_3_part1 (Qed 4ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_2 (Qed 6ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_signed_overflow (Qed 0.86ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_terminates (Qed 3ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part1 (Qed 23ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part5 (Qed 34ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part4 (Qed 4ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part3 (Qed 12ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part2 (Qed 17ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part1 (Qed 24ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part4 (Qed 31ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part3 (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part2 (Qed 11ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part1 (Qed 18ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part4 (Qed 30ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part3 (Qed 4ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part2 (Qed 11ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part1 (Qed 23ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part4 (Qed 12ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part3 (Qed 15ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part2 (Qed 21ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part1 (Qed 28ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part6 (Qed 40ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part5 (Qed 4ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part4 (Qed 13ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part3 (Qed 16ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part2 (Qed 23ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part1 (Qed 37ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part5 (Qed 40ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part4 (Qed 5ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part3 (Qed 12ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part2 (Qed 23ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part5 (Qed 10ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part4 (Qed 14ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part3 (Qed 21ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part2 (Qed 31ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_14_part1 (Qed 36ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part7 (Qed 48ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part6 (Qed 3ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part5 (Qed 8ms) (CVC4)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_13_part4 (Qed 12ms) (CVC4)
