C File,Goals,Proved,Qed (Min-StDev-Max),Timeout,Term.,Unreach.,Solver Results,Assigns Missing
---,---,---,---,---,---,---,---,---
binarysearch_rte.c,4,1,**Alt-Ergo:** 0.67 ms – 1.5 ms – 2.0 ms,**Alt-Ergo:** 4,0,1,"**Alt-Ergo:** 4 timeouts, 0 unknown",Yes
binarysearch_rte.c,4,1,**CVC4:** 0.72 ms – 1.5 ms – 2.0 ms,**CVC4:** 0,0,1,"**CVC4:** 0 timeouts, 4 unknown",Yes
binarysearch_rte.c,4,1,**CVC5:** 0.74 ms – 1.5 ms – 2.0 ms,**CVC5:** 0,0,1,"**CVC5:** 0 timeouts, 4 unknown",Yes
binarysearch_rte.c,4,1,**Z3:** 0.64 ms – 1.5 ms – 2.0 ms,**Z3:** 2,0,1,"**Z3:** 2 timeouts, 2 unknown",Yes
duplicate_rte.c,4,3,**Alt-Ergo:** 1.0 ms – 1.0 ms – 1.0 ms,**Alt-Ergo:** 2,0,1,"**Alt-Ergo:** 2 timeouts, 0 unknown",Yes
duplicate_rte.c,4,3,**CVC4:** 0.53 ms – 0.765 ms – 1.0 ms,**CVC4:** 0,0,1,"**CVC4:** 0 timeouts, 2 unknown",Yes
duplicate_rte.c,4,3,**CVC5:** 1.0 ms – 1.0 ms – 1.0 ms,**CVC5:** 0,0,1,"**CVC5:** 0 timeouts, 2 unknown",Yes
duplicate_rte.c,4,3,**Z3:** 1.0 ms – 1.0 ms – 1.0 ms,**Z3:** 1,0,1,"**Z3:** 1 timeouts, 1 unknown",Yes
gcd_rte.c,2,2,-,-,0,1,-,No
gcd_rte.c,2,2,-,-,0,1,-,No
gcd_rte.c,2,2,-,-,0,1,-,No
gcd_rte.c,2,2,-,-,0,1,-,No
insert_rte.c,0,0,-,-,0,0,-,No
insert_rte.c,0,0,-,-,0,0,-,No
insert_rte.c,0,0,-,-,0,0,-,No
insert_rte.c,0,0,-,-,0,0,-,No
ksmallest_rte.c,0,0,-,-,0,0,-,No
ksmallest_rte.c,0,0,-,-,0,0,-,No
ksmallest_rte.c,0,0,-,-,0,0,-,No
ksmallest_rte.c,0,0,-,-,0,0,-,No
lower_rte.c,6,3,**Alt-Ergo:** 0.71 ms – 0.85 ms – 1.0 ms,**Alt-Ergo:** 4,0,1,"**Alt-Ergo:** 4 timeouts, 0 unknown",Yes
lower_rte.c,6,3,**CVC4:** 0.66 ms – 1.0 ms – 1.0 ms,**CVC4:** 0,0,1,"**CVC4:** 0 timeouts, 4 unknown",Yes
