[kernel] Parsing duff_rte.c (with preprocessing)
[wp] Running WP plugin...
[wp] Warning: Missing RTE guards
[wp] duff_rte.c:7: Warning: 
  Missing assigns clause (assigns 'everything' instead)
[wp] 65 goals scheduled
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part3 (Qed 22ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part2 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_6_part1 (Qed 14ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part3 (Qed 22ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part2 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_5_part1 (Qed 12ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_4_part2 (Qed 14ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_4_part1 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_3_part2 (Qed 14ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_3_part1 (Qed 4ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_2 (Qed 6ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_signed_overflow (Qed 1ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_terminates (Qed 3ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_10_part1 (Qed 26ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part5 (Qed 37ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part4 (Qed 4ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part3 (Qed 13ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part2 (Qed 19ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_9_part1 (Qed 25ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part4 (Qed 31ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part3 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part2 (Qed 12ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_8_part1 (Qed 19ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part4 (Qed 29ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part3 (Qed 5ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part2 (Qed 11ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_7_part1 (Qed 20ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_12_part1 (Qed 28ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part6 (Qed 41ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part5 (Qed 4ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part4 (Qed 9ms) (CVC5)
[wp] [Unknown] typed_duffsDevice_assert_rte_mem_access_11_part3 (Qed 18ms) (CVC5)
